,word,word length,nr_phon,aoa,OSC_m,OSC_h,PSC_m,PSC_h,conc,val,freq_subtlex,old20,morph
5202,outweigh,8,6,10.7,0.5677129135006964,0.11404037375301278,0.5677129135006964,0.1653209256092801,2.63,4.19,0.47,71.0,1
5203,outwit,6,7,10.47,0.4289604675763549,0.061392039028110634,0.4289604675763549,0.10230301818850096,1.97,5.3,0.59,49.0,1
5204,oval,4,4,5.95,0.02362743420965198,0.06048004122054955,0.041161123478159235,0.04024567148710295,4.04,5.14,1.35,35.0,1
5205,ovation,7,6,11.19,0.07909931122021387,0.07588434618389096,0.07909931122021387,0.09525387690419064,3.45,5.21,0.88,41.0,0
5206,oven,4,4,5.67,0.10793202618464026,0.1767768137526889,0.629507696962613,0.07277084418700662,4.97,6.16,8.88,32.0,0
5207,overcast,8,8,9.05,0.12626422184217323,0.07305153383019992,0.07879900774126898,0.04476708802945805,4.04,4.35,0.47,55.0,1
5208,overcoat,8,7,8.95,0.5399500608914574,0.12049449801126011,0.5399500608914574,0.13336924167396047,4.5,5.43,1.45,52.0,1
5209,overcome,8,8,8.0,0.5872120071976609,0.1835771652037733,0.668139018415297,0.3239506633504012,2.28,6.81,6.2,49.0,1
5210,overdo,6,7,9.17,0.24252516364679236,0.07792038719896191,0.4581575564225196,0.10315621649411455,2.19,3.61,1.61,45.0,1
5211,overdose,8,7,11.74,0.6045159587783824,0.16074573993603794,0.633244640743449,0.08651408725032281,2.83,2.67,2.67,46.0,1
5212,overdrive,9,8,11.37,0.11030459299606162,0.04223571837406791,0.01834547603806155,0.04572913534889537,2.96,5.43,0.57,57.0,1
5213,overdue,7,8,7.78,0.062445807919291905,0.04376746292746668,0.0682123490200182,0.06830383557211671,2.86,3.39,2.9,43.0,1
5214,overgrown,9,9,8.7,0.12423717171472923,0.0526469330753576,0.05434416353939986,0.08310305465470767,3.28,3.29,0.96,62.0,1
5215,overhear,8,8,8.37,0.49373212297837377,0.1330767986494189,0.10311678230376183,0.052010770619564085,2.4,3.89,1.04,45.0,1
5216,overkill,8,7,8.78,0.04576070480583448,0.050740143891545665,0.04950423951859034,0.03466204260374973,2.32,3.35,0.57,56.0,1
5217,overlook,8,8,9.72,0.4909725963238116,0.16548770697493662,0.4909725963238116,0.19884804792981656,2.41,4.3,2.9,48.0,1
5218,overlord,8,7,12.63,0.34653766527811936,0.07751153008183999,0.34653766527811936,0.0393198719604949,3.61,3.73,0.41,48.0,1
5219,overpass,8,7,9.0,0.07745129999550254,0.07242385668822188,0.06456760599483656,0.039530684389228604,4.11,4.77,0.49,53.0,1
5220,overpower,9,9,7.94,0.4094835566382599,0.08549738713665998,0.0747068144269665,0.13802402265051558,2.59,4.14,0.59,57.0,1
5221,override,8,8,12.5,0.5019433365642265,0.1595643817099606,0.40251203681909775,0.11075427413454804,2.58,4.33,5.16,45.0,1
5222,overrun,7,8,9.42,0.3122448159693045,0.11552370792872257,0.3122448159693045,0.09571873180207262,2.68,3.14,1.67,50.0,1
5223,oversee,7,7,11.0,0.47216733750440515,0.299624685752362,0.18184608049383208,0.43776985503011945,2.82,5.68,1.33,35.0,1
5224,oversight,9,7,11.28,0.2693679520710392,0.08749440550444845,0.2693679520710392,0.11350576024341621,1.57,3.6,1.45,60.0,1
5225,overtake,8,8,9.44,0.37271636670371033,0.08048968965248243,0.4220570348955276,0.11100255450999966,2.63,3.95,0.73,48.0,1
5226,overtime,8,7,9.39,0.1360196298576529,0.04365393174266889,0.09982560797752925,0.04068465657706995,2.8,4.8,6.24,50.0,1
5227,overture,8,9,11.47,0.28896669152350957,0.051118615319296304,0.10315866313054926,0.03809740865777565,3.08,5.33,1.29,44.0,0
5228,overwhelm,9,9,9.21,0.31924431006835274,0.13036324296891974,0.3192443100683527,0.13193923302573857,1.42,3.3,0.69,70.0,1
5229,overwrought,11,8,14.87,0.14150183258338495,0.031666394869700805,0.19082436697117552,0.09577164104735848,2.28,3.52,0.69,93.0,1
5230,owe,3,2,8.61,0.16884873985304188,0.20103828048727077,0.31554183320353474,0.245372515059155,2.07,3.56,74.16,20.0,0
5231,owl,3,3,6.21,0.12017166720291114,0.16628690858945627,0.6384407393598045,0.15180728610482952,4.93,6.3,5.61,24.0,0
5232,owner,5,5,7.5,0.44628560197563255,0.08005085381690541,0.09735506019953627,0.16065638073647912,3.78,6.38,23.24,37.0,1
5233,ownership,9,7,9.39,0.052175468959707226,0.04894092726315525,0.022824913335094853,0.03797242405986115,2.42,5.85,2.27,75.0,1
5234,ox,2,4,4.72,0.07919183941116266,0.09795362715565431,0.14908248580333458,0.07850042206610991,4.86,4.95,7.78,20.0,0
5235,oxide,5,6,14.53,0.3326984414094443,0.047594186796588514,0.3369481882609662,0.05153540067253615,3.87,5.53,1.2,40.0,0
5236,oxygen,6,8,8.63,0.44236188538927995,0.034797513542173,0.07462896303883382,0.030296695283407303,3.66,7.25,13.88,59.0,0
5237,oyster,6,6,8.0,0.4760207637551077,0.053356950195052606,0.06652443510070791,0.041946133653046454,4.85,4.81,3.06,37.0,0
5238,ozone,5,5,12.79,0.042901138359935746,0.03313420898808485,0.03792824120903064,0.030005898269143204,3.5,5.05,2.14,39.0,0
5239,pacifist,8,9,12.75,0.5653317444307969,0.22767032545975643,0.6017080163151117,0.06840781032148445,2.44,4.78,0.69,54.0,1
5240,pacify,6,7,10.37,0.048936100603128925,0.06094163166238588,0.2764278487522298,0.10527919686674905,2.04,5.67,0.39,52.0,1
5241,pack,4,4,6.55,0.42802587830803007,0.1885826399801927,0.408826253589817,0.19019561025031378,3.83,5.55,43.82,20.0,0
5242,package,7,6,6.61,0.6197152628186224,0.2063752246234475,0.5796602764903713,0.06520044800209186,4.72,5.17,22.78,52.0,1
5243,packer,6,6,10.0,0.3036217772968145,0.1519059183279894,0.11990503671709865,0.15601742987796025,3.96,4.9,0.43,25.0,1
5244,packet,6,6,8.94,0.7544958754718302,0.2552359221505473,0.7544958754718302,0.23330630053430768,4.46,5.16,2.51,33.0,1
5245,pact,4,5,9.37,0.023884685572814146,0.09289672989221483,0.06003641989356809,0.08118368783152884,2.52,5.0,3.76,26.0,0
5246,pad,3,4,8.83,0.16081533198062875,0.12842556172782968,0.22742636988390189,0.13684294725856216,4.43,5.14,8.14,20.0,0
5247,padded,6,6,6.83,0.0697003765032482,0.062137593755511825,0.07824686898866992,0.16455301218533108,4.21,5.14,1.08,37.0,0
